	speech_start	speech_end	speaker
	680.954	684.042	SPEAKER_2
	684.881	685.819	SPEAKER_1
	690.64	702.132	SPEAKER_1
	706.385	716.731	SPEAKER_2
	716.915	722.787	SPEAKER_2
	723.766	731.68	SPEAKER_1
	736.225	737.081	SPEAKER_1
	755.272	756.537	SPEAKER_0
	759.001	759.946	SPEAKER_1
	760.385	761.11	SPEAKER_0
	763.519	764.1	SPEAKER_1
	764.262	764.844	SPEAKER_0
	766.696	767.168	SPEAKER_1
	768.89	769.615	SPEAKER_1
	769.919	770.56	SPEAKER_0
	770.881	772.298	SPEAKER_0
	773.108	773.8	SPEAKER_2
	773.935	775.522	SPEAKER_2
	775.876	780.702	SPEAKER_2
	781.192	782.98	SPEAKER_2
	783.436	789.545	SPEAKER_2
	790.54	791.688	SPEAKER_1
	792.599	794.506	SPEAKER_1
	794.506	795.299	SPEAKER_0
	795.653	802.572	SPEAKER_0
	803.635	805.458	SPEAKER_0
	806.419	807.078	SPEAKER_0
	807.989	809.373	SPEAKER_0
	809.828	810.217	SPEAKER_0
	811.881	813.625	SPEAKER_0
	813.794	815.394	SPEAKER_1
	815.481	815.7	SPEAKER_0
	818.975	820.038	SPEAKER_1
	820.679	825.893	SPEAKER_1
	828.194	830.028	SPEAKER_1
	840.997	843.275	SPEAKER_1
	848.168	849.9	SPEAKER_1
	854.429	855.104	SPEAKER_0
	855.458	856.707	SPEAKER_0
	857.129	858.547	SPEAKER_1
	859.725	862.4	SPEAKER_1
	862.594	864.269	SPEAKER_1
	864.706	865.919	SPEAKER_1
	866.647	867.35	SPEAKER_1
	867.997	868.52	SPEAKER_1
	868.688	870.41	SPEAKER_0
	871.405	872.84	SPEAKER_1
	873.295	874.223	SPEAKER_1
	874.325	877.244	SPEAKER_0
	877.902	878.188	SPEAKER_1
	878.188	879.218	SPEAKER_0
	880.265	881.428	SPEAKER_1
	881.428	883.284	SPEAKER_0
	883.994	885.075	SPEAKER_1
	885.102	885.346	SPEAKER_0
	885.593	886.118	SPEAKER_1
	887.555	895.038	SPEAKER_1
	895.044	898.831	SPEAKER_0
	899.35	900.143	SPEAKER_1
	900.143	900.638	SPEAKER_0
	900.638	903.363	SPEAKER_1
	904.058	905.982	SPEAKER_1
	906.708	908.8	SPEAKER_1
	910.538	912.142	SPEAKER_1
	913.272	915.584	SPEAKER_1
	917.187	918.938	SPEAKER_1
	919.163	919.756	SPEAKER_2
	920.137	922.2	SPEAKER_1
	922.294	924.837	SPEAKER_2
	925.219	930.213	SPEAKER_2
	930.417	933.539	SPEAKER_2
	936.205	939.619	SPEAKER_1
	941.335	945.925	SPEAKER_1
	948.331	949.506	SPEAKER_0
	949.84	950.482	SPEAKER_2
	953.043	958.612	SPEAKER_2
	958.953	962.041	SPEAKER_2
	962.549	963.381	SPEAKER_1
	963.948	965.363	SPEAKER_1
	965.456	966.381	SPEAKER_0
	966.715	968.268	SPEAKER_1
	969.137	969.506	SPEAKER_0
	969.706	971.038	SPEAKER_1
	972.394	974.95	SPEAKER_1
	980.485	981.093	SPEAKER_2
	981.245	982.775	SPEAKER_0
	983.489	992.433	SPEAKER_2
	992.956	994.88	SPEAKER_2
	995.42	998.513	SPEAKER_2
	998.678	1000.666	SPEAKER_1
	1001.225	1001.579	SPEAKER_0
	1003.306	1003.493	SPEAKER_0
	1003.76	1005.308	SPEAKER_2
	1006.253	1008.953	SPEAKER_2
	1009.392	1011.316	SPEAKER_2
	1011.907	1013.645	SPEAKER_2
	1013.932	1016.125	SPEAKER_2
	1017.155	1019.45	SPEAKER_1
	1020.462	1021.559	SPEAKER_1
	1021.846	1022.344	SPEAKER_2
	1024.867	1029.625	SPEAKER_2
	1029.693	1032.005	SPEAKER_2
	1032.293	1035.199	SPEAKER_2
	1035.425	1038.738	SPEAKER_1
	1041.404	1044.492	SPEAKER_1
	1045.184	1045.572	SPEAKER_0
	1046.332	1046.753	SPEAKER_0
	1049.211	1050.123	SPEAKER_2
	1050.135	1050.77	SPEAKER_1
	1050.841	1051.882	SPEAKER_0
	1052.322	1054.398	SPEAKER_2
	1054.735	1058.836	SPEAKER_2
	1059.173	1062.295	SPEAKER_2
	1062.717	1064.472	SPEAKER_0
	1065.1	1065.977	SPEAKER_1
	1067.994	1070.247	SPEAKER_1
	1071.779	1072.707	SPEAKER_1
	1072.842	1074.817	SPEAKER_0
	1075.154	1079.39	SPEAKER_1
	1079.828	1080.976	SPEAKER_0
	1082.191	1082.815	SPEAKER_0
	1083.17	1100.163	SPEAKER_1
	1100.312	1103.688	SPEAKER_0
	1103.74	1110.271	SPEAKER_1
	1110.506	1111.411	SPEAKER_0
	1112.195	1120.632	SPEAKER_1
	1122.168	1123.118	SPEAKER_0
	1124.075	1124.885	SPEAKER_1
	1125.391	1126.285	SPEAKER_0
	1127.45	1127.753	SPEAKER_1
	1128.293	1128.479	SPEAKER_1
	1130.593	1130.882	SPEAKER_0
	1177.4	1177.676	SPEAKER_1
	1178.513	1179.408	SPEAKER_1
	1182.243	1183.12	SPEAKER_1
	1184.588	1185.483	SPEAKER_1
	1186.85	1187.963	SPEAKER_1
	1188.853	1190.912	SPEAKER_2
	1191.473	1193.903	SPEAKER_2
	1194.595	1196.907	SPEAKER_2
	1196.944	1197.55	SPEAKER_1
	1199.639	1200.022	SPEAKER_1
	1201.016	1201.695	SPEAKER_1
	1204.214	1204.602	SPEAKER_1
	1205.195	1205.889	SPEAKER_1
	1205.995	1206.495	SPEAKER_1
	1206.595	1207.195	SPEAKER_1
	1208.789	1209.6	SPEAKER_1
	1212.517	1213.31	SPEAKER_1
	1214.187	1214.533	SPEAKER_1
	1226.118	1226.776	SPEAKER_1
	1229.122	1232.227	SPEAKER_2
	1232.665	1237.323	SPEAKER_2
	1237.762	1241.761	SPEAKER_2
	1258.641	1259.194	SPEAKER_1
	1275.716	1276.694	SPEAKER_1
	1278.498	1280.017	SPEAKER_1
	1280.326	1280.663	SPEAKER_1
	1283.041	1283.452	SPEAKER_1
	1291.4	1292.526	SPEAKER_1
	1297.016	1297.605	SPEAKER_1
	1298.11	1300.947	SPEAKER_1
	1303.06	1303.535	SPEAKER_1
	1305.605	1306.105	SPEAKER_1
	1306.943	1307.605	SPEAKER_1
	1308.162	1308.452	SPEAKER_1
	1309.157	1309.891	SPEAKER_1
	1313.195	1313.438	SPEAKER_1
	1314.852	1317.456	SPEAKER_1
	1325.427	1325.967	SPEAKER_1
	1331.789	1332.785	SPEAKER_1
	1333.713	1334.405	SPEAKER_3
	1335.2	1337.257	SPEAKER_1
	1337.548	1338.1	SPEAKER_3
	1339.023	1339.938	SPEAKER_3
	1341.109	1341.495	SPEAKER_3
	1342.186	1343.614	SPEAKER_1
	1343.618	1344.327	SPEAKER_3
	1344.931	1345.568	SPEAKER_3
	1346.541	1347.264	SPEAKER_3
	1348.177	1350.509	SPEAKER_3
	1350.559	1351.868	SPEAKER_1
	1352.013	1352.572	SPEAKER_3
	1352.654	1353.159	SPEAKER_1
	1354.177	1354.668	SPEAKER_1
	1354.682	1355.55	SPEAKER_3
	1356.494	1357.064	SPEAKER_1
	1361.152	1361.81	SPEAKER_1
	1362.485	1364.273	SPEAKER_1
	1364.611	1365.758	SPEAKER_2
	1367.75	1370.011	SPEAKER_2
	1370.332	1376.238	SPEAKER_2
	1376.609	1379.805	SPEAKER_2
	1379.877	1382.75	SPEAKER_3
	1383.341	1383.914	SPEAKER_1
	1394.277	1395.003	SPEAKER_2
	1395.551	1395.801	SPEAKER_1
	1397.315	1401.449	SPEAKER_2
	1402.208	1403.322	SPEAKER_2
	1404.638	1415.0	SPEAKER_2
	1416.565	1416.995	SPEAKER_3
	1417.904	1418.309	SPEAKER_3
	1419.522	1421.007	SPEAKER_1
	1421.2	1421.413	SPEAKER_3
	1421.817	1422.265	SPEAKER_1
	1430.904	1432.191	SPEAKER_1
	1432.482	1432.808	SPEAKER_3
	1432.965	1433.961	SPEAKER_1
	1434.575	1435.773	SPEAKER_3
	1435.978	1437.3	SPEAKER_1
	1437.629	1439.249	SPEAKER_3
	1439.648	1440.265	SPEAKER_1
	1440.539	1441.113	SPEAKER_3
	1441.377	1441.625	SPEAKER_1
	1442.236	1443.181	SPEAKER_3
	1445.358	1448.075	SPEAKER_3
	1448.665	1451.281	SPEAKER_3
	1451.782	1452.113	SPEAKER_1
	1455.208	1456.004	SPEAKER_1
	1456.03	1460.935	SPEAKER_2
	1461.787	1464.017	SPEAKER_2
	1464.087	1468.469	SPEAKER_3
	1468.578	1470.452	SPEAKER_1
	1472.088	1473.134	SPEAKER_1
	1473.877	1482.584	SPEAKER_2
	1482.938	1487.967	SPEAKER_2
	1488.423	1491.604	SPEAKER_2
	1492.036	1493.744	SPEAKER_3
	1495.156	1495.896	SPEAKER_1
	1496.02	1496.685	SPEAKER_3
	1497.181	1499.122	SPEAKER_3
	1499.307	1502.18	SPEAKER_3
	1503.332	1503.796	SPEAKER_1
	1504.167	1504.792	SPEAKER_3
	1506.635	1507.677	SPEAKER_2
	1509.803	1511.954	SPEAKER_2
	1512.318	1515.76	SPEAKER_2
	1516.047	1518.781	SPEAKER_2
	1519.372	1522.578	SPEAKER_2
	1533.361	1534.103	SPEAKER_1
	1544.87	1545.804	SPEAKER_2
	1545.955	1546.552	SPEAKER_1
	1547.975	1549.949	SPEAKER_2
	1550.506	1554.792	SPEAKER_2
	1554.961	1557.577	SPEAKER_2
	1557.982	1561.171	SPEAKER_2
	1600.196	1600.996	SPEAKER_1
	1601.519	1602.093	SPEAKER_1
	1610.783	1613.028	SPEAKER_3
	1614.563	1615.593	SPEAKER_1
	1631.523	1632.535	SPEAKER_1
	1637.581	1640.028	SPEAKER_1
	1640.652	1641.361	SPEAKER_1
	1641.985	1644.028	SPEAKER_1
	1644.634	1645.306	SPEAKER_3
	1645.756	1646.337	SPEAKER_1
	1646.462	1646.537	SPEAKER_1
	1646.542	1648.113	SPEAKER_3
	1649.917	1650.187	SPEAKER_1
	1661.982	1664.007	SPEAKER_3
	1665.172	1665.695	SPEAKER_1
	1666.657	1670.256	SPEAKER_3
	1670.259	1670.706	SPEAKER_1
	1671.084	1671.359	SPEAKER_3
	1671.359	1672.616	SPEAKER_1
	1672.968	1673.521	SPEAKER_3
	1676.917	1678.003	SPEAKER_1
	1678.214	1679.106	SPEAKER_3
	1679.971	1680.325	SPEAKER_2
	1680.68	1681.27	SPEAKER_1
	1681.777	1683.024	SPEAKER_1
	1683.1	1685.5	SPEAKER_2
	1686.177	1687.505	SPEAKER_2
	1687.851	1690.028	SPEAKER_2
	1690.096	1693.336	SPEAKER_2
	1702.448	1705.132	SPEAKER_3
	1705.385	1706.515	SPEAKER_1
	1709.603	1710.262	SPEAKER_1
	1712.046	1712.573	SPEAKER_2
	1715.27	1720.355	SPEAKER_2
	1721.078	1724.183	SPEAKER_2
	1725.702	1727.204	SPEAKER_2
	1730.36	1732.064	SPEAKER_2
	1732.57	1733.633	SPEAKER_2
	1735.269	1735.945	SPEAKER_1
	1736.823	1738.257	SPEAKER_2
	1738.797	1739.911	SPEAKER_3
	1744.484	1747.218	SPEAKER_1
	1748.028	1748.872	SPEAKER_1
	1750.306	1750.947	SPEAKER_1
	1751.318	1751.757	SPEAKER_1
	1753.04	1754.255	SPEAKER_3
	1754.997	1756.769	SPEAKER_1
	1757.966	1758.473	SPEAKER_1
	1758.477	1760.252	SPEAKER_2
	1760.661	1761.6	SPEAKER_1
	1762.777	1763.738	SPEAKER_1
	1767.147	1768.025	SPEAKER_1
	1771.568	1773.34	SPEAKER_1
	1780.495	1782.067	SPEAKER_2
	1785.136	1787.262	SPEAKER_2
	1788.022	1788.832	SPEAKER_1
	1791.65	1793.557	SPEAKER_1
	1808.693	1809.706	SPEAKER_1
	1816.068	1816.523	SPEAKER_1
	1818.633	1819.578	SPEAKER_3
	1828.608	1828.724	SPEAKER_1
	1829.872	1830.783	SPEAKER_1
	1847.742	1848.856	SPEAKER_1
	1850.073	1851.05	SPEAKER_1
	1851.115	1852.448	SPEAKER_3
	1856.771	1857.969	SPEAKER_1
	1859.403	1860.366	SPEAKER_1
	1862.508	1863.149	SPEAKER_1
	1864.567	1864.955	SPEAKER_1
	1865.181	1865.406	SPEAKER_1
	1865.697	1866.524	SPEAKER_1
	23.124	23.957	SPEAKER_1
	77.341	79.125	SPEAKER_0
	80.278	81.258	SPEAKER_0
	84.633	85.274	SPEAKER_1
	153.007	154.524	SPEAKER_0
	155.041	156.275	SPEAKER_0
	160.982	161.124	SPEAKER_1
	162.362	163.154	SPEAKER_1
	210.133	210.408	SPEAKER_1
	210.766	211.083	SPEAKER_1
	328.513	330.626	SPEAKER_0
	333.387	334.152	SPEAKER_1
	377.105	378.193	SPEAKER_1
	384.886	387.062	SPEAKER_1
	396.017	396.723	SPEAKER_0
	414.64	415.676	SPEAKER_0
	581.492	582.67	SPEAKER_1
	603.594	604.81	SPEAKER_0
	609.098	609.323	SPEAKER_1
	617.147	618.579	SPEAKER_0
	625.6	626.338	SPEAKER_0
	627.863	629.288	SPEAKER_0
	642.563	644.425	SPEAKER_1
	707.662	708.919	SPEAKER_1
	712.768	713.881	SPEAKER_1
	775.256	775.519	SPEAKER_1
	857.85	859.191	SPEAKER_0
	874.625	875.037	SPEAKER_1
	895.469	896.025	SPEAKER_1
	908.49	909.503	SPEAKER_0
	924.206	925.212	SPEAKER_1
	986.426	986.82	SPEAKER_1
	988.856	989.306	SPEAKER_1
	989.768	990.737	SPEAKER_1
	1065.212	1066.353	SPEAKER_0
	1069.687	1071.317	SPEAKER_0
	1087.782	1088.941	SPEAKER_0
	1237.052	1237.321	SPEAKER_1
	1238.759	1239.169	SPEAKER_1
	1241.073	1242.311	SPEAKER_1
	1377.173	1378.953	SPEAKER_1
	1458.795	1459.461	SPEAKER_1
	1459.461	1460.613	SPEAKER_3
	1461.787	1462.513	SPEAKER_3
	1462.513	1463.809	SPEAKER_1
	1476.999	1479.491	SPEAKER_3
	1484.658	1486.104	SPEAKER_3
	1490.324	1491.64	SPEAKER_1
	1493.416	1493.82	SPEAKER_1
	1716.359	1717.23	SPEAKER_1
	1719.289	1719.725	SPEAKER_1
